Rang,X,Y,DA,Site,Yield
1,767996.152940463,6272400.12925074,0.239345155656338,1,850.003855552217
1,768004.38296565,6272396.10974007,0.251602210104465,2,1289.76654906458
1,768012.613001261,6272392.09023991,0.234107531607151,3,1577.74193884233
1,768064.744213326,6272366.43751283,0.280739694833755,4,949.477340630294
1,768081.172786113,6272358.27512987,0.313738703727722,5,1160.16204339915
1,768089.387088347,6272354.19395408,0.321179777383804,6,3261.67724097006
1,768097.601401139,6272350.11278875,0.304763630032539,7,1784.25548991693
1,768105.815724491,6272346.03163388,0.286874130368233,8,2250.03065508845
1,768114.030058403,6272341.95048948,0.316069960594177,9,2101.60876088724
2,767918.787552379,6272441.19878116,0.233923517167568,10,1388.19068382365
2,767927.004679544,6272437.12916265,0.255700051784515,11,5145.97048088139
2,767935.221817243,6272433.05955462,0.255195111036301,12,368.225256337051
2,767943.438965476,6272428.98995705,0.265164941549301,13,3261.54598128408
2,767951.656124243,6272424.92036995,0.267032116651535,14,2461.88813943563
2,767959.873293543,6272420.85079332,0.280186414718628,15,1792.11796451438
2,767968.090473378,6272416.78122716,0.22136551886797,16,464.735149145684
2,767976.307663746,6272412.71167146,0.236481085419655,17,255.329619592811
2,767984.524864648,6272408.64212624,0.260394871234894,18,656.600468243856
2,767992.742076084,6272404.57259148,0.286613166332245,19,669.771581776043
2,768000.959298053,6272400.50306719,0.288582518696785,20,33.7618455102746
2,768009.176530556,6272396.43355337,0.29982228577137,21,647.762910806749
2,768017.393773593,6272392.36405001,0.273975938558578,22,357.461647313452
2,768032.930092742,6272384.55948811,0.277173414826393,23,438.434599651149
2,768041.154624202,6272380.51829476,0.305395022034645,24,164.353991049512
2,768049.379166133,6272376.47711188,0.297131016850471,25,3849.41618441005
2,768057.603718534,6272372.4359395,0.292320474982262,26,960.511595413879
2,768065.828281407,6272368.39477761,0.305699467658997,27,2003.57425431252
2,768074.05285475,6272364.35362621,0.275449171662331,28,868.067441980531
2,768082.277438565,6272360.31248529,0.324451729655266,29,717.342055858871
2,768090.50203285,6272356.27135487,0.308043092489243,30,869.747207675832
2,768098.726637607,6272352.23023493,0.313158869743347,31,2529.42497118839
2,768106.951252834,6272348.18912548,0.302154153585434,32,166.441511317859
